"date_time","temperature","humidity","pressure_hpa","soil_moisture"
"11/11/2025 17:15:31",28.01,70.9,1012.04,2.05
"11/11/2025 17:16:01",28.01,71,1012.04,0
"11/11/2025 17:16:31",28.02,70.96,1012.07,0
"11/11/2025 17:17:01",28.03,70.98,1012.06,0
"11/11/2025 17:17:31",28,70.9,1012.06,0.35
"11/11/2025 17:18:01",27.98,70.9,1012.05,0.25
"11/11/2025 17:18:31",27.96,70.98,1012.08,0.4
"11/11/2025 17:19:01",27.98,71.09,1012.08,0
"11/11/2025 17:19:31",27.98,71.19,1012.09,0
"11/11/2025 17:20:01",27.98,71.03,1012.11,0
"11/11/2025 17:20:31",27.95,71.04,1012.09,0
"11/11/2025 17:21:01",27.95,71.08,1012.1,0
"11/11/2025 17:21:31",27.95,71.08,1012.1,0
"11/11/2025 17:22:01",27.95,71.79,1012.11,0
"11/11/2025 17:22:31",27.97,71.2,1012.12,0
"11/11/2025 17:23:01",27.96,71.06,1012.13,0
"11/11/2025 17:23:31",27.95,71.06,1012.13,0
"11/11/2025 17:24:01",27.95,71.13,1012.15,0
"11/11/2025 17:24:31",27.99,71.04,1012.16,0
"11/11/2025 17:25:01",27.99,71.08,1012.17,0
"11/11/2025 17:25:31",27.96,71.12,1012.14,0
"11/11/2025 17:26:01",27.96,71.1,1012.17,0
"11/11/2025 17:26:31",27.93,71.14,1012.2,0
"11/11/2025 17:27:01",27.91,71.16,1012.19,0
"11/11/2025 17:27:31",27.92,71.21,1012.2,0
"11/11/2025 17:28:01",27.93,71.2,1012.24,12.9
"11/11/2025 17:28:31",27.95,71.59,1012.21,0
"11/11/2025 17:29:01",27.98,71.44,1012.23,0
"11/11/2025 17:29:31",27.99,71.12,1012.26,8.4
"11/11/2025 17:30:01",27.95,71.13,1012.22,0
"11/11/2025 17:30:31",28,71.4,1012.2,0
"11/11/2025 17:31:01",28,71.07,1012.19,0
"11/11/2025 17:31:31",28,70.99,1012.19,0
"11/11/2025 17:32:01",28,71.36,1012.2,0
"11/11/2025 17:32:31",27.99,71.32,1012.24,0
"11/11/2025 17:33:01",27.98,71.13,1012.21,0
"11/11/2025 17:33:31",27.99,71.08,1012.23,0
"11/11/2025 17:34:01",27.97,71.17,1012.24,34
"11/11/2025 17:34:31",27.96,71.14,1012.24,0
"11/11/2025 17:35:01",27.98,71.16,1012.22,0
"11/11/2025 17:35:31",27.96,71.13,1012.27,0
"11/11/2025 17:36:01",27.97,71.1,1012.28,0
"11/11/2025 17:36:31",27.95,71.17,1012.27,0
"11/11/2025 17:37:01",27.97,71.21,1012.26,0
"11/11/2025 17:37:31",27.99,71.39,1012.29,0
"11/11/2025 17:38:01",28,71.62,1012.28,0
"11/11/2025 17:38:31",28,71.9,1012.31,0
"11/11/2025 17:39:01",28.01,71.39,1012.32,0
"11/11/2025 17:39:31",28.02,71.19,1012.33,0
"11/11/2025 17:40:01",28,71.11,1012.34,0
"11/11/2025 17:40:31",27.98,71.16,1012.33,0
"11/11/2025 17:41:01",27.99,71.59,1012.34,0
"11/11/2025 17:41:31",27.98,71.2,1012.34,0
"11/11/2025 17:42:01",27.95,71.15,1012.31,0
"11/11/2025 17:42:31",27.96,71.16,1012.31,0
"11/11/2025 17:43:01",27.99,71.25,1012.33,0
"11/11/2025 17:43:31",28,71.17,1012.32,0
"11/11/2025 17:44:01",27.99,71.17,1012.32,0
"11/11/2025 17:44:31",27.98,71.16,1012.32,0
"11/11/2025 17:45:57",28,71.16,1012.34,0
"11/11/2025 17:45:57",28,71.16,1012.34,0
"11/11/2025 17:46:27",28.01,71.43,1012.33,0
"11/11/2025 17:46:57",28.03,71.35,1012.3,0
"11/11/2025 17:47:27",28.02,71.57,1012.33,0
"11/11/2025 17:47:57",28.01,71.13,1012.32,0
"11/11/2025 17:48:27",28.03,71.07,1012.35,0
"11/11/2025 17:48:57",28.04,71.06,1012.36,0
"11/11/2025 17:49:27",28.05,71.05,1012.37,0
"11/11/2025 17:49:57",28.05,70.98,1012.36,0
"11/11/2025 17:50:27",28.05,71.02,1012.41,0
"11/11/2025 17:50:57",28.05,70.97,1012.43,0
"11/11/2025 17:51:27",28.06,70.97,1012.44,0
"11/11/2025 17:51:57",28.03,71.08,1012.44,0
"11/11/2025 17:52:27",28.03,71.11,1012.45,0
"11/11/2025 17:52:57",28.01,71.19,1012.41,0
"11/11/2025 17:53:27",28.01,71.11,1012.45,0
"11/11/2025 17:53:57",28.01,71.2,1012.46,0
"11/11/2025 17:54:27",28,71.11,1012.46,0
"11/11/2025 17:54:57",28,71.21,1012.45,0
"11/11/2025 17:55:27",27.99,71.18,1012.42,0
"11/11/2025 17:55:57",28.01,71.38,1012.45,0
"11/11/2025 17:56:27",27.99,71.22,1012.44,0
"11/11/2025 17:56:57",28,71.26,1012.44,0
"11/11/2025 17:57:27",28,71.29,1012.45,0
"11/11/2025 17:57:57",28.01,71.44,1012.43,0
"11/11/2025 17:58:27",28,71.17,1012.45,0
"11/11/2025 17:58:57",28.02,71.82,1012.42,0
"11/11/2025 17:59:27",28,71.2,1012.44,0
"11/11/2025 17:59:57",28,71.37,1012.48,0
"11/11/2025 18:00:27",28,71.17,1012.47,0
"11/11/2025 18:00:57",28.01,71.23,1012.47,0
"11/11/2025 18:01:27",28.03,71.49,1012.49,0
"11/11/2025 18:01:57",28.03,71.8,1012.51,18.55
"11/11/2025 18:02:27",28.03,71.33,1012.54,0
"11/11/2025 18:02:57",28.04,71.28,1012.54,0
"11/11/2025 18:03:27",28.02,71.12,1012.5,0
"11/11/2025 18:03:57",28,71.1,1012.56,0
"11/11/2025 18:04:27",28,71.14,1012.54,0
"11/11/2025 18:04:57",27.99,71.17,1012.54,0
"11/11/2025 18:05:27",27.99,71.31,1012.55,0
"11/11/2025 18:06:32",28.02,71.23,1012.55,62.7
"11/11/2025 18:07:02",28.01,71,1012.54,55.7
"11/11/2025 18:07:32",27.99,71.09,1012.54,54.55
"11/11/2025 18:08:02",27.98,71.11,1012.58,52.5
"11/11/2025 18:08:32",27.97,71.11,1012.56,53.2
"11/11/2025 18:09:02",27.95,71.2,1012.56,54.25
"11/11/2025 18:09:32",27.95,71.14,1012.53,53.2
"11/11/2025 18:10:02",27.94,71.17,1012.52,54.75
"11/11/2025 18:10:32",27.94,71.28,1012.51,55
"11/11/2025 18:11:02",27.94,71.32,1012.5,56.05
"11/11/2025 18:11:32",27.94,71.31,1012.52,56.6
"11/11/2025 18:12:02",27.94,71.32,1012.51,57.3
"11/11/2025 18:12:32",27.93,71.36,1012.51,56.65
"11/11/2025 18:12:32",27.93,71.36,1012.51,56.65
"11/11/2025 18:12:32",27.93,71.36,1012.51,56.65
"11/11/2025 18:12:32",27.93,71.36,1012.51,56.65
"11/11/2025 18:13:02",27.93,71.35,1012.52,56.4
"11/11/2025 18:13:02",27.93,71.35,1012.52,56.4
"11/11/2025 18:13:02",27.93,71.35,1012.52,56.4
"11/11/2025 18:13:02",27.93,71.35,1012.52,56.4
"11/11/2025 18:13:32",27.94,71.5,1012.51,56.35
"11/11/2025 18:14:32",27.96,71.26,1012.54,73.25
"11/11/2025 18:14:32",27.96,71.26,1012.54,73.25
"11/11/2025 18:14:32",27.96,71.26,1012.54,73.25
"11/11/2025 18:15:02",27.94,71.3,1012.54,73.3
"11/11/2025 18:15:02",27.94,71.3,1012.54,73.3
"11/11/2025 18:15:32",27.94,71.27,1012.53,73.25
"11/11/2025 18:15:32",27.94,71.27,1012.53,73.25
"11/11/2025 18:15:32",27.94,71.27,1012.53,73.25
"11/11/2025 18:15:32",27.94,71.27,1012.53,73.25
"11/11/2025 18:16:02",27.94,71.3,1012.53,73.25
"11/11/2025 18:16:02",27.94,71.3,1012.53,73.25
"11/11/2025 18:16:32",27.95,71.42,1012.54,8.6
"11/11/2025 18:16:32",27.95,71.42,1012.54,8.6
"11/11/2025 18:17:02",27.94,71.31,1012.54,0
"11/11/2025 18:17:02",27.94,71.31,1012.54,0
"11/11/2025 18:17:02",27.94,71.31,1012.54,0
"11/11/2025 18:17:32",27.93,71.3,1012.55,1.65
"11/11/2025 18:17:32",27.93,71.3,1012.55,1.65
"11/11/2025 18:17:32",27.93,71.3,1012.55,1.65
"11/11/2025 18:17:32",27.93,71.3,1012.55,1.65
"11/11/2025 18:18:02",27.94,71.35,1012.56,1.9
"11/11/2025 18:18:32",27.93,71.3,1012.58,2
"11/11/2025 18:18:32",27.93,71.3,1012.58,2
"11/11/2025 18:18:32",27.93,71.3,1012.58,2
"11/11/2025 18:19:02",27.93,71.42,1012.59,1.05
"11/11/2025 18:19:02",27.93,71.42,1012.59,1.05
"11/11/2025 18:19:02",27.93,71.42,1012.59,1.05
"11/11/2025 18:19:02",27.93,71.42,1012.59,1.05
"11/11/2025 18:19:02",27.93,71.42,1012.59,1.05
"11/11/2025 18:19:32",27.92,71.35,1012.57,0.5
"11/11/2025 18:19:32",27.92,71.35,1012.57,0.5
"11/11/2025 18:19:32",27.92,71.35,1012.57,0.5
"11/11/2025 18:20:02",27.91,71.32,1012.56,0.2
"11/11/2025 18:20:02",27.91,71.32,1012.56,0.2
"11/11/2025 18:20:02",27.91,71.32,1012.56,0.2
"11/11/2025 18:20:02",27.91,71.32,1012.56,0.2
"11/11/2025 18:20:32",27.91,71.41,1012.6,0.4
"11/11/2025 18:21:02",27.9,71.42,1012.57,0
"11/11/2025 18:21:32",27.88,71.44,1012.58,0
"11/11/2025 18:22:02",27.89,71.44,1012.59,0
